identity_id,relation,other_name,other_identity_id,other_wikidata_id
36,alternate_universe_counterpart,Ultimate Spider-Man,,Q47471875
36,alternate_universe_counterpart,Spider-Man Noir,37,Q3966701
36,alternate_universe_counterpart,Pavitr Prabhakar / Spider-Man India,208,Q48732969
36,alternate_universe_counterpart,Spider-Man,,Q48739522
37,alternate_universe_counterpart,Peter Parker / Spider-Man,27,Q79037
37,alternate_universe_counterpart,Ultimate Spider-Man,,Q47471875
37,alternate_universe_counterpart,Spider-Ham,36,Q3966700
37,alternate_universe_counterpart,Pavitr Prabhakar / Spider-Man India,208,Q48732969
37,alternate_universe_counterpart,Spider-Man,,Q48739522
38,enemy,Gold Goblin,117,Q17090877
38,enemy,Eddie Brock / Venom,12,Q1621261
38,enemy,Thunderstrike,,Q17033514
4,enemy,Peter Parker / Spider-Man,27,Q79037
4,partner,Kraven the Hunter,20,Q654588
42,enemy,Peter Parker / Spider-Man,27,Q79037
